COD_ESTADO,COD_MUNICIPIO,COD_PARROQUIA,COD_CENTRO,MESA,CANDIDATO,TOTAL VOTOS EN MESA,PARTIDO,VOTOS POR PARTIDO
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,ACCIÓN DEMOCRÁTICA,1
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,COMPROMISO PAÍS,0
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,MOVIMIENTO REPUBLICANO,0
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101001,1,ADOLFO RAMON SUPERLANO,7,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,5
5,1,1,50101001,1,ADOLFO RAMON SUPERLANO,7,VOLUNTAD POPULAR ACTIVISTAS,2
5,1,1,50101001,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101001,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,41
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,2
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,MOVIMIENTO ELECTORAL DEL PUEBLO ,1
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,PATRIA PARA TODOS ,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,MOVIMIENTO SOMOS VENEZUELA,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,POR LA DEMOCRACIA SOCIAL ,0
5,1,1,50101002,1,JORGE ALBERTO ARREAZA MONTSERRAT,44,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,MESA DE LA UNIDAD DEMOCRÁTICA,23
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,MOVIMIENTO AL SOCIALISMO ,3
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,CONVERGENCIA,0
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,MOVIMIENTO CENTRADOS,0
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,MOVIMIENTO PROGRESISTA DE VENEZUELA,0
5,1,1,50101002,1,SERGIO RAMON GARRIDO QUINTERO,26,UNIÓN PARA EL PROGRESO,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,SOLUCIONES POR VENEZUELA,4
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,ACCIÓN DEMOCRÁTICA,1
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,VENEZUELA UNIDA,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,COMPROMISO PAÍS,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,ESPERANZA POR EL CAMBIO,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,PRIMERO VENEZUELA,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,MOVIMIENTO REPUBLICANO,0
5,1,1,50101002,1,CLAUDIO ELOY FERMIN MALDONADO,5,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101002,1,ADOLFO RAMON SUPERLANO,1,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,1
5,1,1,50101002,1,ADOLFO RAMON SUPERLANO,1,VOLUNTAD POPULAR ACTIVISTAS,0
5,1,1,50101002,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101002,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,109
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,MOVIMIENTO ELECTORAL DEL PUEBLO ,1
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,PATRIA PARA TODOS ,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,MOVIMIENTO SOMOS VENEZUELA,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,POR LA DEMOCRACIA SOCIAL ,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,0
5,1,1,50101003,1,JORGE ALBERTO ARREAZA MONTSERRAT,110,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,MESA DE LA UNIDAD DEMOCRÁTICA,23
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,CONVERGENCIA,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,MOVIMIENTO AL SOCIALISMO ,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,MOVIMIENTO CENTRADOS,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,MOVIMIENTO PROGRESISTA DE VENEZUELA,0
5,1,1,50101003,1,SERGIO RAMON GARRIDO QUINTERO,23,UNIÓN PARA EL PROGRESO,0
5,1,1,50101003,1,ADOLFO RAMON SUPERLANO,2,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,2
5,1,1,50101003,1,ADOLFO RAMON SUPERLANO,2,VOLUNTAD POPULAR ACTIVISTAS,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,VENEZUELA UNIDA,2
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,ACCIÓN DEMOCRÁTICA,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,COMPROMISO PAÍS,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,ESPERANZA POR EL CAMBIO,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,PRIMERO VENEZUELA,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,MOVIMIENTO REPUBLICANO,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101003,1,CLAUDIO ELOY FERMIN MALDONADO,2,SOLUCIONES POR VENEZUELA,0
5,1,1,50101003,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101003,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,42
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,MOVIMIENTO SOMOS VENEZUELA,2
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,MOVIMIENTO ELECTORAL DEL PUEBLO ,1
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,ORGANIZACIÓN RENOVADORA AUTENTICA ,1
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,POR LA DEMOCRACIA SOCIAL ,1
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,0
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,PATRIA PARA TODOS ,0
5,1,1,50101004,1,JORGE ALBERTO ARREAZA MONTSERRAT,47,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,MESA DE LA UNIDAD DEMOCRÁTICA,22
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,MOVIMIENTO PROGRESISTA DE VENEZUELA,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,UNIÓN PARA EL PROGRESO,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,CONVERGENCIA,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,MOVIMIENTO AL SOCIALISMO ,0
5,1,1,50101004,1,SERGIO RAMON GARRIDO QUINTERO,22,MOVIMIENTO CENTRADOS,0
5,1,1,50101004,1,ADOLFO RAMON SUPERLANO,1,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,1
5,1,1,50101004,1,ADOLFO RAMON SUPERLANO,1,VOLUNTAD POPULAR ACTIVISTAS,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,ACCIÓN DEMOCRÁTICA,1
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,MOVIMIENTO REPUBLICANO,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,SOLUCIONES POR VENEZUELA,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,VENEZUELA UNIDA,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,COMPROMISO PAÍS,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,ESPERANZA POR EL CAMBIO,0
5,1,1,50101004,1,CLAUDIO ELOY FERMIN MALDONADO,1,PRIMERO VENEZUELA,0
5,1,1,50101004,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101004,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,MESA DE LA UNIDAD DEMOCRÁTICA,114
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,CONVERGENCIA,2
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,MOVIMIENTO AL SOCIALISMO ,0
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,MOVIMIENTO CENTRADOS,0
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,MOVIMIENTO PROGRESISTA DE VENEZUELA,0
5,1,1,50101007,1,SERGIO RAMON GARRIDO QUINTERO,116,UNIÓN PARA EL PROGRESO,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,74
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,PATRIA PARA TODOS ,1
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,MOVIMIENTO SOMOS VENEZUELA,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,POR LA DEMOCRACIA SOCIAL ,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,MOVIMIENTO ELECTORAL DEL PUEBLO ,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101007,1,JORGE ALBERTO ARREAZA MONTSERRAT,75,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101007,1,ADOLFO RAMON SUPERLANO,3,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,2
5,1,1,50101007,1,ADOLFO RAMON SUPERLANO,3,VOLUNTAD POPULAR ACTIVISTAS,1
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,SOLUCIONES POR VENEZUELA,1
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,VENEZUELA UNIDA,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,COMPROMISO PAÍS,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,ESPERANZA POR EL CAMBIO,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,PRIMERO VENEZUELA,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,MOVIMIENTO REPUBLICANO,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,ACCIÓN DEMOCRÁTICA,0
5,1,1,50101007,1,CLAUDIO ELOY FERMIN MALDONADO,1,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101007,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101007,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,59
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,UNIDAD POPULAR VENEZOLANA ,1
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,MOVIMIENTO ELECTORAL DEL PUEBLO ,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,PATRIA PARA TODOS ,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,MOVIMIENTO SOMOS VENEZUELA,0
5,1,1,50101008,1,JORGE ALBERTO ARREAZA MONTSERRAT,60,POR LA DEMOCRACIA SOCIAL ,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,MESA DE LA UNIDAD DEMOCRÁTICA,49
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,MOVIMIENTO PROGRESISTA DE VENEZUELA,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,UNIÓN PARA EL PROGRESO,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,CONVERGENCIA,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,MOVIMIENTO AL SOCIALISMO ,0
5,1,1,50101008,1,SERGIO RAMON GARRIDO QUINTERO,49,MOVIMIENTO CENTRADOS,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,VENEZUELA UNIDA,2
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,ACCIÓN DEMOCRÁTICA,1
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,MOVIMIENTO REPUBLICANO,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,SOLUCIONES POR VENEZUELA,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,COMPROMISO PAÍS,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,ESPERANZA POR EL CAMBIO,0
5,1,1,50101008,1,CLAUDIO ELOY FERMIN MALDONADO,3,PRIMERO VENEZUELA,0
5,1,1,50101008,1,ADOLFO RAMON SUPERLANO,2,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,2
5,1,1,50101008,1,ADOLFO RAMON SUPERLANO,2,VOLUNTAD POPULAR ACTIVISTAS,0
5,1,1,50101008,1,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101008,1,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,30
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,PATRIA PARA TODOS ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,MOVIMIENTO SOMOS VENEZUELA,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,POR LA DEMOCRACIA SOCIAL ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,MOVIMIENTO ELECTORAL DEL PUEBLO ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101009,1,JORGE ALBERTO ARREAZA MONTSERRAT,30,ALIANZA PARA EL CAMBIO ,0
